id,date,sender,text,clearedmsg
288,2018-06-23 14:09:03+08:00,NTUFreeFood,all cleared ,287
289,2018-06-30 14:52:57+08:00,PeerUser(user_id=48628073),"hi all  some help needed to rescue food. there is enough food for about 20 pax in new innovation centre, level 3. its behind the arc, near mae. 71 nanyang drive",-2
290,2018-07-09 14:02:38+08:00,NTUFreeFood,hi guys  9 bento boxes leftover at hive level 1  ,-2
291,2018-07-09 14:28:00+08:00,NTUFreeFood,cleared ,290
292,2018-07-09 16:06:42+08:00,NTUFreeFood,update: cleared // hi guys  leftover finger food over at hive level 1,-2
293,2018-07-10 13:52:54+08:00,NTUFreeFood,update: cleared // hi guys  more leftovers over at hive level 1 ,-2
294,2018-07-11 13:41:49+08:00,NTUFreeFood,"hi all, food over at the arc tr+10  clearing in about 20 minutes",-2
295,2018-07-24 18:28:10+08:00,NTUFreeFood,"update: cleared   // food available in hive tr+52 level 2, clearing by 650pm   rice, siewmai, butter cake",-2
296,2018-07-25 22:51:20+08:00,PeerUser(user_id=91150789),free food at meranti hall   please come   thanks,-2
297,2018-07-25 23:24:58+08:00,NTUFreeFood,cleared  ,296
298,2018-07-26 13:56:56+08:00,NTUFreeFood,hi all   there is food at nie linkway1 clearing in 20mins,-2
299,2018-07-30 16:54:06+08:00,PeerUser(user_id=231332904),some food left at hive level 1. clearing at 5pm,-2
301,2018-07-30 16:54:06+08:00,PeerUser(user_id=231332904),"some food left at hive level 1, clearring at 5pm",-2
302,2018-08-01 13:05:35+08:00,PeerUser(user_id=244579399),hi we have many bento sets  from tamarind hall canteen  cheers :),-2
303,2018-08-01 20:42:04+08:00,PeerUser(user_id=28812626),hall 11 canteen - 7 bento boxes incl 2 vegetarian meals,-2
307,2018-08-02 15:13:50+08:00,PeerUser(user_id=480197338),food available outside lt22 south spine,-2
308,2018-08-02 15:30:27+08:00,NTUFreeFood,hi guys   food over at yunnan corner (opposite hall 1). clearing at 4.30pm,-2
309,2018-08-04 20:20:27+08:00,PeerUser(user_id=205040380),there are 9 packets of vegetarian food at hall 11. please look for red plastic bag and feel free to take by 10pm,-2
310,2018-08-04 20:20:27+08:00,PeerUser(user_id=205040380),infront of japanese store,-2
311,2018-08-07 12:17:27+08:00,PeerUser(user_id=200946490),hi guys there are 10+ packets of fried rice+chicken and another 10+ packets of vegetarian food at scbe building n1.2 b2 level  feel free to take by 1.30pm,-2
312,2018-08-07 12:31:02+08:00,PeerUser(user_id=587245446),"pineapple fried rice, dry mee siam , curry and more at school of humanities foyer. clearing at 1.30pm",-2
313,2018-08-07 14:31:13+08:00,PeerUser(user_id=48628073),hi guys  18 packs of food available at s4-b3  clearing at 330pm,-2
314,2018-08-07 20:31:50+08:00,PeerUser(user_id=290537505),there is 30 packet rice at hss foyer  can come and take ☺️,-2
315,2018-08-08 16:03:52+08:00,PeerUser(user_id=296382900),bento boxes at spms mas atrium  but the best before is 3pm,-2
